source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.6282276453624387,0.0,0.0,True,False
shorts,shorts,2,10.0,-0.4279209835068484,0.0,0.0,True,False
shorts,shorts,3,15.0,-0.38646716347871,0.0,0.0,True,False
video,video,1,5.0,-0.44386958554215206,0.0,0.0,True,False
shorts,shorts,4,20.0,-0.29683516306022967,3.4246892442587495e-196,3.2877016744883994e-195,True,False
shorts,shorts,5,25.0,-0.28643238238721946,3.0404895375863177e-182,2.432391630069054e-181,True,False
video,video,2,10.0,-0.2785825144701451,3.084077190131173e-172,2.1147957875185185e-171,True,False
shorts,shorts,6,30.0,-0.2560738875012119,9.843562643300655e-145,5.906137585980393e-144,True,False
video,video,3,15.0,-0.1470965380842909,1.61751591937166e-47,8.626751569982186e-47,True,False
video,video,11,55.0,0.10937369089275023,1.2684796585935878e-26,6.088702361249221e-26,True,False
video,shorts,4,20.0,-0.0795908318845967,1.6133019227086923e-14,7.039862935456113e-14,True,True
shorts,video,1,5.0,-0.07469269844518213,6.343096688563278e-13,2.5372386754253112e-12,True,True
video,shorts,7,35.0,0.06950173568803611,2.4509456433915582e-11,9.049645452522678e-11,True,True
shorts,shorts,11,55.0,-0.0613420885687169,4.791760561844617e-09,1.642889335489583e-08,True,False
video,shorts,6,30.0,0.06011361884224417,9.34089985629633e-09,2.9890879540148256e-08,True,True
video,shorts,3,15.0,-0.05923567313951583,1.4814801491143647e-08,4.444440447343094e-08,True,True
video,video,5,25.0,-0.05422760493174429,2.418668901728795e-07,6.829182781351892e-07,True,False
shorts,video,7,35.0,0.04811682105399595,5.434091904395965e-06,1.4490911745055905e-05,True,True
shorts,video,4,20.0,-0.047462066553379166,6.697486727855153e-06,1.6073968146852367e-05,True,True
video,shorts,1,5.0,-0.047540910484093805,6.697486727855153e-06,1.6073968146852367e-05,True,True
video,video,12,60.0,0.04523902029938756,1.823917435085939e-05,4.1689541373392886e-05,True,False
shorts,shorts,7,35.0,0.0398962890867317,0.00018041831741414004,0.0003936399652672146,True,False
shorts,video,3,15.0,-0.037602854298899036,0.00043057414923755594,0.000898589528843595,True,True
shorts,video,11,55.0,-0.0370332355423583,0.0005160785801227627,0.0010321571602455253,True,True
shorts,video,9,45.0,-0.035150998710202185,0.0010049418091707307,0.001929488273607803,True,True
shorts,shorts,12,60.0,-0.033239991774346174,0.0018522353152985187,0.003292862782752922,True,False
video,shorts,12,60.0,0.033345531467826706,0.0018481145076907225,0.003292862782752922,True,True
shorts,video,12,60.0,-0.029163829234503686,0.006876325649361578,0.01178798682747699,True,True
video,video,9,45.0,-0.026938223500228002,0.012988382855470928,0.021249510890166794,True,False
video,video,10,50.0,-0.026745927919270714,0.013280944306354247,0.021249510890166794,True,False
video,video,7,35.0,-0.023753904093341008,0.029542320801768492,0.04574294833822218,True,False
shorts,shorts,10,50.0,-0.02209677692832643,0.043939929983810896,0.06590989497571635,False,False
shorts,video,10,50.0,-0.020610252036760864,0.06112629387777851,0.08891097291313238,False,True
video,shorts,8,40.0,-0.019787090274798545,0.07027837398947755,0.09638177004271208,False,True
video,video,6,30.0,-0.01975435263300842,0.07027837398947755,0.09638177004271208,False,False
shorts,video,5,25.0,0.017745388419859516,0.10664477456964876,0.14219303275953168,False,True
shorts,video,6,30.0,-0.015038691417075164,0.17890781809232192,0.23209662887652574,False,True
video,shorts,5,25.0,0.01297867544893655,0.2531226163200422,0.31973383114110593,False,True
shorts,video,8,40.0,-0.010665931969736702,0.36028250347392654,0.4434246196602173,False,True
video,shorts,11,55.0,-0.008776127139860687,0.46394136255292434,0.5567296350635091,False,True
video,shorts,9,45.0,-0.007611514357835864,0.5300777410013773,0.6205788187333198,False,True
video,shorts,10,50.0,-0.006198677921556635,0.6181391042396419,0.7064446905595908,False,True
shorts,shorts,8,40.0,0.004662291976365647,0.6886766258804966,0.7345884009391964,False,False
shorts,shorts,9,45.0,0.005312731059506093,0.6700875230097318,0.7345884009391964,False,False
video,shorts,2,10.0,0.004765709877646639,0.6886766258804966,0.7345884009391964,False,True
video,video,4,20.0,0.0033925302006877728,0.769889004415662,0.803362439390256,False,False
video,video,8,40.0,-0.0017306526741548314,0.882803218192637,0.9015862653882251,False,False
shorts,video,2,10.0,0.0009412862591189401,0.9260100863086509,0.9260100863086509,False,True
