source,target,lag_steps,lag_minutes,val,p_value,q_value,significant,cross_series
shorts,shorts,1,5.0,-0.2369849191153313,8.949640157779386e-123,4.295827275734105e-121,True,False
shorts,shorts,10,50.0,-0.15559124598673918,1.8530434512048832e-52,4.44730428289172e-51,True,False
video,video,1,5.0,-0.15272683921952354,1.067547113864593e-50,1.7080753821833488e-49,True,False
shorts,shorts,2,10.0,-0.10795131942363441,1.4383725699361636e-25,1.7260470839233967e-24,True,False
video,video,12,60.0,-0.09417359122725759,1.2293717604755213e-19,1.1801968900565005e-18,True,False
shorts,video,8,40.0,-0.08592241021379618,1.6032510101119566e-16,1.2826008080895653e-15,True,True
shorts,shorts,8,40.0,-0.06599969498202685,4.203071532216402e-10,2.5218429193298413e-09,True,False
video,video,9,45.0,-0.06633418274794113,3.928582729598676e-10,2.5218429193298413e-09,True,False
video,video,11,55.0,-0.06186800912176939,5.356563107881262e-09,2.856833657536673e-08,True,False
shorts,video,9,45.0,0.059619084860629605,1.8823439319209968e-08,9.035250873220784e-08,True,True
video,video,8,40.0,0.05841977993181303,3.501616648859043e-08,1.5279781740475825e-07,True,False
shorts,video,10,50.0,-0.056415186325711866,1.01735600768702e-07,4.06942403074808e-07,True,True
shorts,shorts,9,45.0,0.04775876534577267,8.89367439746092e-06,3.2838182390624935e-05,True,False
shorts,video,3,15.0,-0.04446171824342174,3.909666982896081e-05,0.00013404572512786564,True,True
shorts,video,1,5.0,0.04236666894198248,8.63884851910434e-05,0.0002591654555731302,True,True
video,shorts,12,60.0,-0.042563227119754105,8.498828953832087e-05,0.0002591654555731302,True,True
shorts,video,2,10.0,-0.03839899240841036,0.00042505916208755213,0.0012001670458942648,True,True
video,video,2,10.0,-0.03546675611077989,0.001240603008338769,0.003308274688903384,True,False
video,video,7,35.0,0.034532060656891454,0.0016538636580868946,0.004178181873061629,True,False
shorts,shorts,12,60.0,-0.03229545286208308,0.0032763510369599467,0.007148402262458066,True,False
video,shorts,6,30.0,-0.0324575727051062,0.0032596957532589196,0.007148402262458066,True,True
video,video,4,20.0,-0.032171884173572106,0.0032763510369599467,0.007148402262458066,True,False
video,shorts,8,40.0,0.03044523963258642,0.005548267282030114,0.011578992588584585,True,True
shorts,shorts,6,30.0,-0.029554127663455033,0.007064873307265643,0.014129746614531286,True,False
video,shorts,11,55.0,-0.029003415545370816,0.0080781015328314,0.015509954943036286,True,True
shorts,shorts,3,15.0,-0.026009915387856523,0.01893501025218559,0.03495694200403494,True,False
video,shorts,1,5.0,0.02547489907918959,0.021214753368479024,0.03771511709951827,True,True
shorts,video,7,35.0,-0.022400203149121976,0.04567570961893721,0.07560117454168917,False,True
shorts,video,11,55.0,-0.022327771326286123,0.04567570961893721,0.07560117454168917,False,True
shorts,video,4,20.0,0.02149896491096199,0.05424905671485536,0.08679849074376858,False,True
video,shorts,10,50.0,-0.019831569975092122,0.07798542488511151,0.12075162562855975,False,True
video,video,3,15.0,-0.01885260070162039,0.0943605589878087,0.14154083848171306,False,False
shorts,shorts,4,20.0,-0.016141521751007804,0.16171061848577228,0.23521544507021422,False,False
video,video,5,25.0,-0.015118436091570708,0.1917625154582798,0.2707235512352185,False,False
shorts,shorts,5,25.0,-0.012867140344904587,0.28003360332671423,0.38404608456235095,False,False
video,shorts,9,45.0,-0.012420892348553212,0.29383068590942046,0.39177424787922727,False,True
shorts,video,12,60.0,-0.011871665794816941,0.3133097624578434,0.40645590805341847,False,True
shorts,video,5,25.0,-0.010058020778721938,0.39279896934485115,0.47135876321382136,False,True
video,shorts,2,10.0,0.009926932556306561,0.39279896934485115,0.47135876321382136,False,True
video,shorts,4,20.0,-0.0101484389252479,0.39279896934485115,0.47135876321382136,False,True
video,video,6,30.0,-0.009495971222101668,0.4084332994783326,0.47816581402341385,False,False
video,shorts,3,15.0,-0.008700724292502984,0.44274986761782087,0.4942324103640791,False,True
video,shorts,7,35.0,0.008590768679864778,0.44274986761782087,0.4942324103640791,False,True
shorts,shorts,7,35.0,0.008141401518557287,0.4600599050124096,0.5018835327408105,False,False
shorts,video,6,30.0,-0.006426874392671509,0.5610798433189482,0.5984851662068781,False,True
video,shorts,5,25.0,-0.005229054910307265,0.632234349843126,0.6597227998363053,False,True
video,video,10,50.0,-0.003981392191456683,0.7092889621667893,0.7243802166809763,False,False
shorts,shorts,11,55.0,0.0011949593594700197,0.9061332931513557,0.9061332931513557,False,False
